degauss,Celldm1,smearing,energy
0.01,3,m-v,-19.38292662
0.01,3,gaussian,-19.38292662
0.01,5.5,m-v,-22.55147656
0.01,5.5,gaussian,-22.55147656
0.01,8,m-v,-21.76841503
0.01,8,gaussian,-21.76841503
0.105,3,m-v,-19.38292662
0.105,3,gaussian,-19.38292662
0.105,5.5,m-v,-22.5452774
0.105,5.5,gaussian,-22.5452774
0.105,8,m-v,-21.78856438
0.105,8,gaussian,-21.78856438
0.2,3,m-v,-19.38486869
0.2,3,gaussian,-19.38486869
0.2,5.5,m-v,-22.52570322
0.2,5.5,gaussian,-22.52570322
0.2,8,m-v,-21.86135299
0.2,8,gaussian,-21.86135299
