,ecut,smearing,degauss,grid,Celldm3,Celldm1,energy
1,50,m-v,0.01,3,5,3,-19.22669991
2,80,m-v,0.01,3,5,8,-21.76363269
3,50,gaussian,0.01,3,5,8,-21.76657163
4,80,gaussian,0.01,3,5,3,-19.31284594
5,50,m-v,0.2,3,5,8,-21.83592179
6,80,m-v,0.2,3,5,3,-19.35614069
7,50,gaussian,0.2,3,5,3,-19.31240285
8,80,gaussian,0.2,3,5,8,-22.03961745
9,50,m-v,0.01,24,5,3,-19.30409175
10,80,m-v,0.01,24,5,8,-19.38914669
11,50,gaussian,0.01,24,5,8,-21.74479589
12,80,gaussian,0.01,24,5,3,-19.38924894
13,50,m-v,0.2,24,5,8,-21.83588892
14,80,m-v,0.2,24,5,3,-19.38921241
15,50,gaussian,0.2,24,5,3,-19.32811182
16,80,gaussian,0.2,24,5,8,-22.03941859
17,50,m-v,0.01,3,15,3,-19.22483732
18,80,m-v,0.01,3,15,8,-21.76363629
19,50,gaussian,0.01,3,15,8,-21.74027304
20,80,gaussian,0.01,3,15,3,-19.31092485
21,50,m-v,0.2,3,15,8,-21.8358961
22,80,m-v,0.2,3,15,3,-19.35577096
23,50,gaussian,0.2,3,15,3,-19.31250979
24,80,gaussian,0.2,3,15,8,-22.03961939
25,50,m-v,0.01,24,15,3,-19.30266066
26,80,m-v,0.01,24,15,8,-21.76958365
27,50,gaussian,0.01,24,15,8,-21.74480604
28,80,gaussian,0.01,24,15,3,-10.38761955
29,50,m-v,0.2,24,15,8,-21.83589641
30,80,m-v,0.2,24,15,3,-19.38866208
31,50,gaussian,0.2,24,15,3,-19.32798603
32,80,gaussian,0.2,24,15,8,-22.03941891
